comuna,postcode
Río Bueno,5240000
Río Claro,8320000
Río Hurtado,8320000
Río Ibáñez,8320000
Río Negro,8320000
Río Verde,8320000
Romeral,8320000
Saavedra,8320000
Sagrada Familia,8320000
Salamanca,1950000
San Antonio,2660000
San Bernardo,8050000
San Carlos,3840000
San Clemente,8320000
San Esteban,2120000
San Fabián,8320000
San Felipe,2170000
San Fernando,3070000
San Gregorio,8320000
San Ignacio,8320000
San Javier,3660000
San Joaquín,8940000
San José de Maipo,9460000
San Juan de la Costa,8320000
San Miguel,8900000
San Nicolás,3870000
San Pablo,8320000
San Pedro,8320000
San Pedro de Atacama,1410000
San Pedro de la Paz,4130000
San Rafael,8320000
San Ramón,8860000
San Rosendo,8320000
San Vicente,2970000
Santa Bárbara,8320000
Santa Cruz,3130000
Santa Juana,8320000
Santa María,2200000
Santiago,8320000
Santo Domingo,2720000
Sierra Gorda,1320000
Talagante,9670000
Talca,3460000
Talcahuano,4260000
Taltal,1300000
Temuco,4780000
Teno,8320000
Teodoro Schmidt,8320000
Tierra Amarilla,8320000
Tiltil,9420000
Timaukel,8320000
Tirúa,8320000
Tocopilla,1340000
Toltén,8320000
Tomé,4160000
Torres del Paine,8320000
Tortel,8320000
Traiguén,4670000
Treguaco,8320000
Tucapel,8320000
Valdivia,5090000
Vallenar,1610000
Valparaíso,2340000
Vichuquén,8320000
Victoria,4720000
Vicuña,1760000
Vilcún,8320000
Villa Alegre,8320000
Villa Alemana,6500000
Villarrica,4930000
Viña del Mar,2520000
Vitacura,7630000
Yerbas Buenas,8320000
Yumbel,4580000
Yungay,3920000
Zapallar,2060000
